
glyph,english,translit,confidence,source,notes
1,person; human,tangata,0.85,"Barthel B001, Fischer 1997",Alternative translation of basic anthropomorphic glyph; Basic human figure representing a person or ancestor; appears in genealogical lists.; Basic human figure with dual meaning: 'person' (general individual) and 'human' (species designation). Appears consistently in genealogical contexts and social hierarchies.
2,head; face,po'o; mata,0.7,"Guy 1990, comparative analysis",Alternative interpretation focusing on facial aspect; Circular glyph with facial features. Primary anatomical reference to 'head' (po'o) but also facial aspect 'face' (mata). Represents both physical structure and identity/recognition.
3,watch; eye; see,kite; mata; mata kite,0.8,"Pozdniakov 2007, anatomical","Direct anatomical reference, oval with central dot; Direct anatomical 'eye' (mata) with extended meanings: 'see' (kite) for vision, 'watch' (mata kite) for observation. Oval with central dot representing visual perception and awareness."
4,word; mouth; speak,kupu; haha; kī,0.75,"Fischer 1997, anatomical","Horizontal line representing oral cavity; Anatomical 'mouth' (haha) with communicative extensions: 'speak' (kī) for verbal action, 'word' (kupu) for linguistic content. Horizontal line representing oral cavity and speech function."
5,arm; reach,tuku; rima,0.6,Barthel action interpretation,Action derived from arm extension; Linear appendage representing 'arm' (rima) with action meaning 'reach' (tuku). Physical limb and extending action derived from arm movement.
6,plural marker; grasp; plural marker; rima (five; take; hand; many),plural marker; rima; ma'u,0.9,Aruku Kurenga,"Updated interpretation, status: confirmed; Hand glyph used as plural or collective marker; attaches to nouns to indicate many.; Multi-functional glyph: anatomical 'hand' (rima), verbs 'take/grasp' (ma'u), and grammatical 'plural marker'. Confirmed as pluralizing affix when combined with other glyphs. (Cross-methodology) Cross-linguistic plural marker: similar to Elamite plural suffix '-p' and '-be' and to plural marker determinatives in Egyptian. The hand glyph acts as a plural or group marker across the tablets."
8,star (ra'a or hetu'u); sun; star; fire; light,ahi; sun/star (ra'a or hetu'u); mārama; hetu'u; ra'a,0.9,Santiago Staff/Aruku Kurenga,"Updated interpretation, status: confirmed; Radiating circular glyph for the sun; can also denote star or light; used as celestial/temporal marker.; Radial celestial glyph with multiple meanings: 'sun' (ra'a) primary, 'star' (hetu'u) alternative, 'fire' (ahi) for heat/light, 'light' (mārama) general illumination. Solar or stellar symbol with luminous properties. (Cross-methodology) Celestial symbol: analogous to solar ideogram in Egyptian (hieroglyph N5) and the cuneiform sign 'UD' for sun/day; widely used cross-culturally to denote the sun or a star."
10,lunar; month; moon,māhina,0.8,Mamari calendar context,"Adjectival form related to moon; Crescent-shaped glyph denoting the moon or month; forms basis of lunar calendar.; Crescent lunar glyph: 'moon' (māhina) celestial body, 'lunar' adjectival form, 'month' temporal unit. Generic lunar sign fundamental to calendar systems. (Cross-methodology) Moon sign: parallels lunar crescents in many scripts, such as the Egyptian 'iaH' hieroglyph and the cuneiform sign 'ITU' for month; denotes lunar phases and timekeeping."
20,grow; tree; plant,tiare; tipu; rākau,0.6,Fischer growth concept,"Action derived from plant symbolism; Branching glyph representing a tree or plant; marks agriculture or growth sections.; Branched vegetation with multiple interpretations: 'tree' (rākau) woody plant, 'plant' (tiare) general vegetation, 'grow' (tipu) growth action. Represents plant life and growth concepts."
30,place; house,hare; henua,0.6,Knorozov spatial reference,"General location concept; Rectangular or oval enclosure sign; denotes a house, dwelling, or place.; Architectural/spatial glyph: 'house' (hare) dwelling structure, 'place' (henua) general location. Rectangular enclosure representing habitation or geographic reference."
